Date,Broilers_sweight
1983-01,4.1
1983-02,4.1
1983-03,4.1
1983-04,4.2
1983-05,4.1
1983-06,4.1
1983-07,4.0
1983-08,4.0
1983-09,4.0
1983-10,4.1
1983-11,4.1
1983-12,4.1
1984-01,4.1
1984-02,4.2
1984-03,4.2
1984-04,4.2
1984-05,4.2
1984-06,4.1
1984-07,4.1
1984-08,4.1
1984-09,4.2
1984-10,4.2
1984-11,4.2
1984-12,4.2
1985-01,4.2
1985-02,4.2
1985-03,4.2
1985-04,4.2
1985-05,4.2
1985-06,4.2
1985-07,4.1
1985-08,4.1
1985-09,4.2
1985-10,4.2
1985-11,4.2
1985-12,4.3
1986-01,4.3
1986-02,4.3
1986-03,4.3
1986-04,4.3
1986-05,4.2
1986-06,4.2
1986-07,4.1
1986-08,4.1
1986-09,4.3
1986-10,4.2
1986-11,4.3
1986-12,4.2
1987-01,4.4
1987-02,4.3
1987-03,4.3
1987-04,4.3
1987-05,4.3
1987-06,4.3
1987-07,4.2
1987-08,4.2
1987-09,4.3
1987-10,4.4
1987-11,4.3
1987-12,4.4
1988-01,4.4
1988-02,4.3
1988-03,4.3
1988-04,4.3
1988-05,4.3
1988-06,4.3
1988-07,4.2
1988-08,4.1
1988-09,4.3
1988-10,4.4
1988-11,4.4
1988-12,4.4
1989-01,4.4
1989-02,4.3
1989-03,4.4
1989-04,4.4
1989-05,4.3
1989-06,4.3
1989-07,4.3
1989-08,4.3
1989-09,4.3
1989-10,4.4
1989-11,4.4
1989-12,4.4
1990-01,4.4
1990-02,4.4
1990-03,4.4
1990-04,4.4
1990-05,4.4
1990-06,4.3
1990-07,4.3
1990-08,4.3
1990-09,4.3
1990-10,4.5
1990-11,4.5
1990-12,4.4
1991-01,4.4
1991-02,4.4
1991-03,4.4
1991-04,4.5
1991-05,4.4
1991-06,4.4
1991-07,4.3
1991-08,4.4
1991-09,4.4
1991-10,4.5
1991-11,4.5
1991-12,4.5
1992-01,4.5
1992-02,4.5
1992-03,4.5
1992-04,4.5
1992-05,4.5
1992-06,4.5
1992-07,4.4
1992-08,4.4
1992-09,4.5
1992-10,4.6
1992-11,4.6
1992-12,4.6
1993-01,4.6
1993-02,4.6
1993-03,4.6
1993-04,4.6
1993-05,4.6
1993-06,4.6
1993-07,4.4
1993-08,4.4
1993-09,4.5
1993-10,4.6
1993-11,4.6
1993-12,4.6
1994-01,4.7
1994-02,4.6
1994-03,4.7
1994-04,4.7
1994-05,4.6
1994-06,4.5
1994-07,4.5
1994-08,4.6
1994-09,4.7
1994-10,4.7
1994-11,4.7
1994-12,4.7
1995-01,4.7
1995-02,4.7
1995-03,4.6
1995-04,4.7
1995-05,4.7
1995-06,4.6
1995-07,4.6
1995-08,4.5
1995-09,4.6
1995-10,4.8
1995-11,4.8
1995-12,4.8
1996-01,4.8
1996-02,4.8
1996-03,4.8
1996-04,4.8
1996-05,4.8
1996-06,4.7
1996-07,4.7
1996-08,4.7
1996-09,4.8
1996-10,4.8
1996-11,4.8
1996-12,4.8
1997-01,4.9
1997-02,4.8
1997-03,4.8
1997-04,4.9
1997-05,4.8
1997-06,4.8
1997-07,4.7
1997-08,4.7
1997-09,4.8
1997-10,4.8
1997-11,4.9
1997-12,4.9
1998-01,4.8
1998-02,4.8
1998-03,4.9
1998-04,4.9
1998-05,4.9
1998-06,4.8
1998-07,4.7
1998-08,4.8
1998-09,4.8
1998-10,4.9
1998-11,5.0
1998-12,5.0
1999-01,5.0
1999-02,5.0
1999-03,5.0
1999-04,5.0
1999-05,5.0
1999-06,5.0
1999-07,4.9
1999-08,4.8
1999-09,5.0
1999-10,5.0
1999-11,5.0
1999-12,5.0
2000-01,5.0
2000-02,5.0
2000-03,5.0
2000-04,5.0
2000-05,5.0
2000-06,5.0
2000-07,5.0
2000-08,4.9
2000-09,5.0
2000-10,5.0
2000-11,5.1
2000-12,5.1
2001-01,5.0
2001-02,5.0
2001-03,5.0
2001-04,5.1
2001-05,5.1
2001-06,5.0
2001-07,5.0
2001-08,5.0
2001-09,5.1
2001-10,5.1
2001-11,5.1
2001-12,5.1
2002-01,5.1
2002-02,5.1
2002-03,5.1
2002-04,5.1
2002-05,5.1
2002-06,5.1
2002-07,5.1
2002-08,5.1
2002-09,5.1
2002-10,5.2
2002-11,5.2
2002-12,5.2
2003-01,5.2
2003-02,5.2
2003-03,5.1
2003-04,5.2
2003-05,5.2
2003-06,5.2
2003-07,5.1
2003-08,5.1
2003-09,5.2
2003-10,5.3
2003-11,5.2
2003-12,5.3
2004-01,5.3
2004-02,5.2
2004-03,5.2
2004-04,5.2
2004-05,5.2
2004-06,5.3
2004-07,5.2
2004-08,5.3
2004-09,5.3
2004-10,5.4
2004-11,5.4
2004-12,5.3
2005-01,5.4
2005-02,5.3
2005-03,5.3
2005-04,5.4
2005-05,5.4
2005-06,5.3
2005-07,5.3
2005-08,5.3
2005-09,5.4
2005-10,5.5
2005-11,5.5
2005-12,5.5
2006-01,5.5
2006-02,5.5
2006-03,5.4
2006-04,5.5
2006-05,5.5
2006-06,5.5
2006-07,5.4
2006-08,5.4
2006-09,5.5
2006-10,5.6
2006-11,5.5
2006-12,5.5
2007-01,5.5
2007-02,5.4
2007-03,5.5
2007-04,5.5
2007-05,5.5
2007-06,5.5
2007-07,5.5
2007-08,5.4
2007-09,5.5
2007-10,5.6
2007-11,5.6
2007-12,5.6
2008-01,5.6
2008-02,5.5
2008-03,5.6
2008-04,5.6
2008-05,5.6
2008-06,5.6
2008-07,5.5
2008-08,5.6
2008-09,5.6
2008-10,5.7
2008-11,5.6
2008-12,5.6
2009-01,5.6
2009-02,5.5
2009-03,5.6
2009-04,5.6
2009-05,5.6
2009-06,5.5
2009-07,5.5
2009-08,5.6
2009-09,5.6
